지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2018-08-31,1.7,292.5
923,기장,2018-09-04,1.4,30.9
923,기장,2018-09-05,1.8,337.5
923,기장,2018-09-06,1.2,253.1
923,기장,2018-09-07,1.3,258.8
923,기장,2018-09-08,1.6,36.6
923,기장,2018-09-09,2.8,0
923,기장,2018-09-10,3.2,123.8
923,기장,2018-09-11,3.3,22.5
923,기장,2018-09-12,2.8,11.3
923,기장,2018-09-13,2.4,47.8
923,기장,2018-09-14,2.3,50.6
923,기장,2018-09-15,1.6,47.8
923,기장,2018-09-16,1.3,174.4
923,기장,2018-09-17,.9,205.3
923,기장,2018-09-18,1.3,236.3
923,기장,2018-09-19,1.5,73.1
923,기장,2018-09-20,2.2,61.9
923,기장,2018-09-21,2.1,33.8
923,기장,2018-09-22,1.6,329.1
923,기장,2018-09-23,1.6,222.2
923,기장,2018-09-24,1.1,11.3
923,기장,2018-09-25,2.9,84.4
923,기장,2018-09-26,3.4,75.9
923,기장,2018-09-27,3.2,33.8
923,기장,2018-09-28,2.5,39.4
923,기장,2018-09-29,2.2,8.4
923,기장,2018-09-30,2.5,320.6
923,기장,2018-10-01,2.1,289.7
923,기장,2018-10-02,1.4,225
923,기장,2018-10-03,1.7,0
923,기장,2018-10-04,3.2,78.8
923,기장,2018-10-05,3.3,42.2
923,기장,2018-10-06,3.6,168.8
923,기장,2018-10-07,1.6,194.1
923,기장,2018-10-08,1.9,84.4
923,기장,2018-10-09,1.9,8.4
923,기장,2018-10-10,1.6,272.8
923,기장,2018-10-11,1.4,317.8
923,기장,2018-10-12,1.8,25.3
923,기장,2018-10-13,2.3,67.5
923,기장,2018-10-14,1.6,331.9
923,기장,2018-10-15,1.4,168.8
923,기장,2018-10-16,1.5,28.1
923,기장,2018-10-17,1.6,45
923,기장,2018-10-18,1.7,354.4
923,기장,2018-10-19,2.8,340.3
923,기장,2018-10-20,1.9,73.1
923,기장,2018-10-21,2,323.4
923,기장,2018-10-22,1.7,323.4
923,기장,2018-10-23,1.9,300.9
923,기장,2018-10-24,1.7,286.9
923,기장,2018-10-25,1.8,329.1
923,기장,2018-10-26,1.6,250.3
923,기장,2018-10-27,2,284.1
923,기장,2018-10-28,2,250.3
923,기장,2018-10-29,1.7,317.8
923,기장,2018-10-30,1.8,272.8
923,기장,2018-10-31,1.6,331.9
923,기장,2018-11-01,1.7,326.3
923,기장,2018-11-02,1.9,326.3
923,기장,2018-11-03,1.9,309.4
923,기장,2018-11-04,1.8,329.1
923,기장,2018-11-05,2.1,87.2
923,기장,2018-11-06,2.1,36.6
923,기장,2018-11-07,2,2.8
923,기장,2018-11-08,2.9,292.5
923,기장,2018-11-09,2.3,272.8
923,기장,2018-11-10,1.8,182.8
923,기장,2018-11-11,1.6,163.1
923,기장,2018-11-12,2.1,8.4
923,기장,2018-11-13,2.5,36.6
923,기장,2018-11-14,2.1,36.6
923,기장,2018-11-15,1.8,118.1
923,기장,2018-11-16,1.7,315
