date,wind_max,wind_dir
2018-02-26,18.8,41
2018-02-27,16.8,259
2018-02-28,34.9,80
2018-03-01,34.7,290
2018-03-02,19.6,290
2018-03-03,9.4,251
2018-03-04,17.7,78
2018-03-05,33.0,29
2018-03-06,25.1,42
2018-03-07,30.4,57
2018-03-08,26.6,360
2018-03-09,18.0,18
2018-03-10,16.1,264
2018-03-11,22.4,298
2018-03-12,17.2,236
2018-03-13,21.2,237
2018-03-14,17.2,227
2018-03-15,28.6,219
2018-03-16,33.5,40
2018-03-17,17.1,46
2018-03-18,8.9,2
2018-03-19,44.5,50
2018-03-20,44.6,45
2018-03-21,32.4,8
2018-03-22,19.0,318
2018-03-23,17.9,285
2018-03-24,17.4,278
2018-03-25,17.7,278
2018-03-26,14.5,271
2018-03-27,17.9,262
2018-03-28,20.5,248
2018-03-29,21.3,49
2018-03-30,26.9,59
2018-03-31,12.0,209
2018-04-01,19.0,239
2018-04-02,17.1,230
2018-04-03,16.9,235
2018-04-04,27.2,59
2018-04-05,26.6,65
2018-04-06,26.3,321
2018-04-07,35.3,291
2018-04-08,29.7,247
2018-04-09,24.5,259
2018-04-10,33.0,204
2018-04-11,32.8,244
2018-04-12,20.8,299
2018-04-13,28.1,59
2018-04-14,28.7,45
2018-04-15,24.9,301
2018-04-16,25.7,33
2018-04-17,17.2,73
2018-04-18,19.1,256
2018-04-19,18.4,250
2018-04-20,11.2,281
2018-04-21,15.3,246
2018-04-22,24.3,68
2018-04-23,29.5,52
2018-04-24,30.1,32
2018-04-25,14.1,21
2018-04-26,11.4,243
2018-04-27,18.9,342
2018-04-28,17.0,238
2018-04-29,20.9,234
2018-04-30,22.2,242
2018-05-01,11.7,93
2018-05-02,26.2,72
2018-05-03,35.4,271
2018-05-04,29.7,247
2018-05-05,25.6,235
2018-05-06,26.8,204
2018-05-07,21.2,49
2018-05-08,32.1,42
2018-05-09,24.8,45
2018-05-10,17.7,221
2018-05-11,17.5,233
2018-05-12,19.0,204
2018-05-13,28.4,239
2018-05-14,16.4,257
2018-05-15,15.6,232
2018-05-16,23.8,205
2018-05-17,25.2,208
2018-05-18,26.7,143
2018-05-19,33.8,48
2018-05-20,34.4,54
2018-05-21,25.7,51
2018-05-22,14.2,78
2018-05-23,17.5,69
2018-05-24,17.9,262
2018-05-25,14.0,263
2018-05-26,14.0,141
2018-05-27,10.6,208
2018-05-28,9.8,139
2018-05-29,12.5,141
2018-05-30,23.4,227
2018-05-31,20.5,6
2018-06-01,14.3,88
2018-06-02,15.4,254
2018-06-03,16.1,212
2018-06-04,17.1,229
2018-06-05,11.2,107
2018-06-06,13.9,211
2018-06-07,19.0,225
2018-06-08,16.3,224
2018-06-09,31.0,55
2018-06-10,30.1,51
2018-06-11,21.9,35
2018-06-12,14.3,77
2018-06-13,19.7,78
2018-06-14,27.1,64
2018-06-15,29.2,48
2018-06-16,25.7,55
2018-06-17,17.8,59
2018-06-18,13.0,94
2018-06-19,13.5,218
2018-06-20,17.7,253
2018-06-21,20.3,267
2018-06-22,11.2,291
2018-06-23,15.9,249
2018-06-24,21.7,246
2018-06-25,15.2,220
2018-06-26,30.0,203
2018-06-27,33.1,225
2018-06-28,41.8,213
2018-06-29,17.8,202
2018-06-30,24.4,179
2018-07-01,16.3,152
2018-07-02,16.2,135
2018-07-03,38.5,55
2018-07-04,22.6,244
2018-07-05,18.9,64
2018-07-06,26.2,46
2018-07-07,30.3,38
2018-07-08,23.6,44
2018-07-09,20.3,55
2018-07-10,13.2,76
2018-07-11,10.3,182
2018-07-12,15.1,245
2018-07-13,15.1,240
2018-07-14,14.3,240
2018-07-15,15.8,235
2018-07-16,13.8,230
2018-07-17,16.0,235
2018-07-18,14.9,238
2018-07-19,12.6,229
2018-07-20,9.7,125
2018-07-21,13.1,135
2018-07-22,11.5,219
2018-07-23,14.4,234
2018-07-24,13.8,239
2018-07-25,19.0,248
2018-07-26,10.9,224
2018-07-27,10.3,98
2018-07-28,20.1,58
2018-07-29,26.2,7
2018-07-30,24.9,52
2018-07-31,23.2,47
2018-08-01,17.7,62
2018-08-02,20.9,73
2018-08-03,17.4,205
2018-08-04,21.7,247
2018-08-05,20.1,266
2018-08-06,16.4,68
2018-08-07,20.8,64
2018-08-08,15.6,74
2018-08-09,13.6,95
2018-08-10,17.0,73
2018-08-11,24.6,56
2018-08-12,18.4,65
2018-08-13,11.9,216
2018-08-14,17.2,74
2018-08-15,25.5,64
2018-08-16,28.5,42
2018-08-17,31.4,61
2018-08-18,21.2,65
2018-08-19,12.2,63
2018-08-20,12.3,132
2018-08-21,11.2,114
